1.33,10.3674,544.5485,48.16,86.9687,860362,93.25,0.0
1.35,6.7428,446.3881,58.33,95.0556,940807,97.49,0.0
0.93,7.947,1091.4967,130.5,81.4535,804221,103.14,0.0
1.08,11.320,719.7641,72.58,58.1116,56774,133.76,0.0
1.28,9.4148,438.3839,75.78,61.8395,598626,197.69,0.0
1.26,11.8427,480.6799,43.61,66.8391,655647,127.44,0.0
0.99,13.6892,736.7272,93.26,83.1886,819681,122.05,0.0
0.98,7.0375,1018.1536,80.0,68.2922,626685,562.37,0.0
1.02,10.2215,873.1557,85.34,113.8836,1110453,283.83,0.0
1.07,8.424,647.5744,113.0,86.2592,806147,564.45,0.0
1.12,9.2486,755.9585,117.07,82.0566,787786,327.8,0.0
1.28,15.8203,526.7792,105.32,101.239,986627,257.63,0.0
1.31,22.6832,498.8067,101.36,87.5675,837998,376.77,0.0
0.99,12.0488,994.0921,154.84,60.3446,588887,145.59,0.0
1.33,10.2803,593.1312,150.5,92.6736,84891,778.26,0.0
1.28,9.8573,656.9686,142.0,92.8668,866519,621.49,0.0
1.11,8.7945,900.6262,240.79,79.901,776287,227.23,0.0
1.07,6.8901,943.6267,335.43,103.0673,1021893,87.8,0.0
1.34,7.3316,679.3379,444.78,108.8036,1074579,134.57,0.0
1.33,5.3965,686.6601,394.9,104.4322,1029768,145.54,0.0
1.12,5.8463,1009.6146,368.95,92.2589,911634,109.55,0.0
1.45,5.0994,620.3506,741.08,118.4702,1176852,78.5,0.0
1.11,6.4875,919.4905,966.61,131.9269,1306153,131.16,0.0
1.26,10.421,820.494,2238.02,112.8748,1110349,183.99,0.0
1.05,6.7225,946.9352,4257.64,244.319,2429008,108.49,33.33
1.35,8.6945,726.0055,5883.16,298.9896,2966319,235.77,0.0
1.37,6.6423,575.4579,4662.71,266.6208,2631176,350.32,0.0
1.27,8.0401,766.8855,5481.18,218.7565,216620,213.65,0.0
1.32,8.5058,554.0094,4377.19,290.0259,2834314,659.45,0.0
1.07,6.5671,992.2082,90.32,227.7521,2231499,460.22,0.0
1.23,9.2237,704.6969,50.55,236.8101,2322249,458.52,0.0
1.19,6.8027,713.7681,58.7,293.5513,2876181,593.32,0.0
1.43,11.5055,819.5516,94.32,266.5744,2628543,372.01,0.0
1.26,14.2043,1020.0052,185.66,168.213,1653555,285.75,0.0
